I,J,CKT,R,X,B,RATEA,RATEB,RATEC,GI,BI,GJ,BJ,ST,MET,LEN,O1,F1,O2,F2,O3,F3,O4,F4
174529,59228,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174530,58828,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174531,55471,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174532,55471,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174533,54119,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174534,55012,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174535,55012,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174536,55012,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174537,55012,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174538,55012,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174539,55012,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174540,54091,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174541,56419,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174542,56419,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174543,54451,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174544,54451,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174545,54224,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174546,96079,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174547,55118,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174548,54384,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174549,55146,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174550,55146,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174551,54507,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174552,54507,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174553,59800,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174554,59200,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
