I,NAME,BASKV,IDE,AREA,ZONE,OWNER,VM,VA,NVHI,NVLO,EVHI,EVLO
1,LNKNRK 1,230.0,1,30,35,1,1.0,0.0,1.1,0.9,1.1,0.9
2,SLST34 1,230.0,1,45,75,1,1.0,0.0,1.1,0.9,1.1,0.9
3,FIFTHS 1,34.5,1,45,87,1,1.0,0.0,1.1,0.9,1.1,0.9
4,NORCNV 1,1.0,1,45,87,1,1.0,0.0,1.1,0.9,1.1,0.9
6,VALTNE 1,34.5,1,45,75,1,1.0,0.0,1.1,0.9,1.1,0.9
7,LEDBED 1,115.0,1,31,46,1,1.0,0.0,1.1,0.9,1.1,0.9
8,SCARLT 1,34.5,1,45,87,1,1.0,0.0,1.1,0.9,1.1,0.9
9,WINDTA 1,230.0,2,9,10,1,1.0,0.0,1.1,0.9,1.1,0.9
11,WESTSI 1,230.0,1,15,20,1,1.0,0.0,1.1,0.9,1.1,0.9
14,RTLSNK 1,230.0,1,31,46,1,1.0,0.0,1.1,0.9,1.1,0.9
21,OLY_Su 1,34.5,1,49,88,1,1.0,0.0,1.1,0.9,1.1,0.9
24,RY     1,69.0,1,18,21,1,1.0,0.0,1.1,0.9,1.1,0.9
27,WEIRIC 1,115.0,1,27,33,1,1.0,0.0,1.1,0.9,1.1,0.9
32,PFTP   1,138.0,1,35,42,1,1.0,0.0,1.1,0.9,1.1,0.9
42,FIFTHS 2,13.8,1,45,87,1,1.0,0.0,1.1,0.9,1.1,0.9
57,SRN    1,230.0,1,16,31,1,1.0,0.0,1.1,0.9,1.1,0.9
67,NWR    1,60.0,1,16,31,1,1.0,0.0,1.1,0.9,1.1,0.9
69,SUN_HA 1,115.0,1,31,46,1,1.0,0.0,1.1,0.9,1.1,0.9
72,NWP    1,66.0,1,16,31,1,1.0,0.0,1.1,0.9,1.1,0.9
76,COWLIT 1,230.0,1,14,19,1,1.0,0.0,1.1,0.9,1.1,0.9
77,CRVR   1,115.0,1,33,41,1,1.0,0.0,1.1,0.9,1.1,0.9
79,SHER_A 1,69.0,1,11,14,1,1.0,0.0,1.1,0.9,1.1,0.9
81,PEARL$ 1,115.0,1,14,19,1,1.0,0.0,1.1,0.9,1.1,0.9
89,ROUNDH 1,34.5,2,26,36,1,1.0,0.0,1.1,0.9,1.1,0.9
95,OREGON 1,69.0,1,13,17,1,1.0,0.0,1.1,0.9,1.1,0.9
100,BONANT 1,69.0,1,27,33,1,1.0,0.0,1.1,0.9,1.1,0.9
101,MESAS  1,12.3,2,45,75,1,1.0,0.0,1.1,0.9,1.1,0.9
102,NITHWK 1,34.5,2,45,76,1,1.0,0.0,1.1,0.9,1.1,0.9
104,WHTHIL 1,34.5,2,45,75,1,1.0,0.0,1.1,0.9,1.1,0.9
105,WHTHIL 2,13.8,1,45,75,1,1.0,0.0,1.1,0.9,1.1,0.9
106,WHTHIL 3,345.0,1,45,75,1,1.0,0.0,1.1,0.9,1.1,0.9
110,GIB    1,132.0,1,16,31,1,1.0,0.0,1.1,0.9,1.1,0.9
111,HERMAN 1,115.0,1,40,68,1,1.0,0.0,1.1,0.9,1.1,0.9
114,GVSP   1,34.5,2,35,42,1,1.0,0.0,1.1,0.9,1.1,0.9
116,ARD    1,115.0,1,32,40,1,1.0,0.0,1.1,0.9,1.1,0.9
125,RVCR   1,34.5,2,35,42,1,1.0,0.0,1.1,0.9,1.1,0.9
128,APACHE 1,12.47,1,19,32,1,1.0,0.0,1.1,0.9,1.1,0.9
134,12STRE 1,46.0,1,40,68,1,1.0,0.0,1.1,0.9,1.1,0.9
138,CORBLR 1,230.0,1,19,32,1,1.0,0.0,1.1,0.9,1.1,0.9
146,MSA    1,132.0,1,16,31,1,1.0,0.0,1.1,0.9,1.1,0.9
149,CLARK$ 1,69.0,1,36,63,1,1.0,0.0,1.1,0.9,1.1,0.9
150,BEN    1,63.0,1,16,31,1,1.0,0.0,1.1,0.9,1.1,0.9
153,ELL_BC 1,132.0,1,16,31,1,1.0,0.0,1.1,0.9,1.1,0.9
160,NWPM   1,69.0,1,35,42,1,1.0,0.0,1.1,0.9,1.1,0.9
161,BLK_ME 1,230.0,1,41,69,1,1.0,0.0,1.1,0.9,1.1,0.9
165,WP     1,1.0,1,18,21,1,1.0,0.0,1.1,0.9,1.1,0.9
168,NIC    1,230.0,2,16,31,1,1.0,0.0,1.1,0.9,1.1,0.9
178,MCG    1,12.47,2,18,21,1,1.0,0.0,1.1,0.9,1.1,0.9
180,BAR_LA 1,230.0,1,49,88,1,1.0,0.0,1.1,0.9,1.1,0.9
188,WOODLD 1,69.0,1,13,17,1,1.0,0.0,1.1,0.9,1.1,0.9
189,WL     1,69.0,1,18,21,1,1.0,0.0,1.1,0.9,1.1,0.9
193,BOBN   1,230.0,1,35,42,1,1.0,0.0,1.1,0.9,1.1,0.9
197,OLV_bw 1,69.0,1,47,90,1,1.0,0.0,1.1,0.9,1.1,0.9
199,LW_REF 1,50.0,1,11,14,1,1.0,0.0,1.1,0.9,1.1,0.9
201,MESAS  2,12.3,1,45,75,1,1.0,0.0,1.1,0.9,1.1,0.9
203,WHTHIL 4,34.5,2,45,75,1,1.0,0.0,1.1,0.9,1.1,0.9
206,WHTHIL 5,345.0,1,45,75,1,1.0,0.0,1.1,0.9,1.1,0.9
207,YORK$  1,161.0,1,39,62,1,1.0,0.0,1.1,0.9,1.1,0.9
208,PKL    1,25.2,1,16,31,1,1.0,0.0,1.1,0.9,1.1,0.9
