I,ID,STATUS,GL,BL
1933,1 ,1,0.0,-24.0
18865,1 ,1,0.0,-12.0
19824,1 ,1,0.0,-24.0
41252,1 ,1,0.0,-100.0
89528,1 ,1,0.0,-4.0
112900,1 ,1,0.0,-100.0
134894,1 ,1,0.0,-50.0
135588,1 ,1,0.0,-46.0
174529,1 ,1,0.0,-20.0
174530,1 ,1,0.0,-20.0
174531,1 ,1,0.0,27.5
174532,1 ,1,0.0,20.0
174533,1 ,1,0.0,52.5
174534,1 ,1,0.0,106.0
174535,1 ,1,0.0,106.0
174536,1 ,1,0.0,106.0
174537,1 ,1,0.0,106.0
174538,1 ,1,0.0,106.0
174539,1 ,1,0.0,106.0
174540,1 ,1,0.0,30.0
174541,1 ,1,0.0,25.55
174542,1 ,1,0.0,27.55
174543,1 ,1,0.0,50.0
174544,1 ,1,0.0,50.0
174545,1 ,1,0.0,24.5
174546,1 ,1,0.0,12.4
174547,1 ,1,0.0,22.7
174548,1 ,1,0.0,50.0
174549,1 ,1,0.0,6.0
174550,1 ,1,0.0,11.0
174551,1 ,1,0.0,47.8
174552,1 ,1,0.0,47.8
174553,1 ,1,0.0,-5.0
174554,1 ,1,0.0,-20.0
174555,1 ,1,0.0,-5.0
174556,1 ,1,0.0,-5.0
174557,1 ,1,0.0,8.0
174558,1 ,1,0.0,-35.0
174559,1 ,1,0.0,54.0
174560,1 ,1,0.0,100.0
174561,1 ,1,0.0,100.0
174562,1 ,1,0.0,9.8
174563,1 ,1,0.0,13.78
174564,1 ,1,0.0,27.0
174565,1 ,1,0.0,24.4
174566,1 ,1,0.0,18.1
174567,1 ,1,0.0,150.0
174568,1 ,1,0.0,150.0
174569,1 ,1,0.0,150.0
174570,1 ,1,0.0,130.0
174571,1 ,1,0.0,-110.0
174572,1 ,1,0.0,130.0
174573,1 ,1,0.0,4.2
174574,1 ,1,0.0,4.2
174575,1 ,1,0.0,27.0
174576,1 ,1,0.0,27.0
174577,1 ,1,0.0,18.37
174578,1 ,1,0.0,27.17
174579,1 ,1,0.0,27.7
174580,1 ,1,0.0,23.0
174581,1 ,1,0.0,27.0
174582,1 ,1,0.0,-50.0
174583,1 ,1,0.0,13.8
174584,1 ,1,0.0,13.8
174585,1 ,1,0.0,14.67
174586,1 ,1,0.0,19.93
174587,1 ,1,0.0,-20.0
174588,1 ,1,0.0,-20.0
174589,1 ,1,0.0,1.2
174590,1 ,1,0.0,1.2
174591,1 ,1,0.0,100.0
174592,1 ,1,0.0,-75.0
174593,1 ,1,0.0,-75.0
174594,1 ,1,0.0,-75.0
174595,1 ,1,0.0,-75.0
174596,1 ,1,0.0,6.0
174597,1 ,1,0.0,14.0
174598,1 ,1,0.0,14.0
174599,1 ,1,0.0,18.3
174600,1 ,1,0.0,8.0
174601,1 ,1,0.0,-10.0
174602,1 ,1,0.0,11.9977
174603,1 ,1,0.0,11.9977
174604,1 ,1,0.0,-10.0
174605,1 ,1,0.0,14.9971
174606,1 ,1,0.0,-10.0
174607,1 ,1,0.0,9.2266
174608,1 ,1,0.0,-217.0
174609,1 ,1,0.0,1.2
174610,1 ,1,0.0,8.0
174611,1 ,1,0.0,1.2
174612,1 ,1,0.0,1.2
174613,1 ,1,0.0,1.2
174614,1 ,1,0.0,12.6
174615,1 ,1,0.0,-7.5
174616,1 ,1,0.0,13.8
174617,1 ,1,0.0,13.8
