I,ID,PG,QG,QT,QB,VS,IREG,MBASE,ZR,ZX,RT,XT,GTAP,STAT,RMPCT,PT,PB,O1,F1,O2,F2,O3,F3,O4,F4,WMOD,WPF
47639,1 ,178.06,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,185.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
47641,1 ,237.53,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,250.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
47640,1 ,167.67,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,185.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
47744,1 ,645.86,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,725.6,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
56451,1 ,270.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,400.0,-400.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
57836,1 ,99.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,102.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
57836,2 ,101.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,102.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
98531,1 ,70.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,95.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
98530,1 ,83.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,95.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
55012,1 ,0.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,9999.0,-9999.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
55012,2 ,0.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,9999.0,-9999.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
58354,1 ,116.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,166.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
56357,1 ,75.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,133.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
58355,1 ,116.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,169.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
58230,1 ,6.61,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,16.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
58230,2 ,6.61,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,16.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
180397,1 ,4.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,5.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
54214,1 ,11.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,12.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
54329,1 ,80.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,250.0,-250.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
59918,1 ,40.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,52.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
58302,1 ,82.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,98.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
55146,1 ,47.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,58.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
180185,1 ,5.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,20.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
55031,1 ,0.56,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,35.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
55035,1 ,10.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,47.9,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
