I,ID,STATUS,AREA,ZONE,PL,QL,IP,IQ,YP,YQ,OWNER,SCALE
7,1 ,1,31,46,18.348,3.612,0.0,0.0,0.0,0.0,1,1
21,1 ,1,49,88,47.0,-3.0,0.0,0.0,0.0,0.0,1,1
69,1 ,1,31,46,39.306000000000004,12.724,0.0,0.0,0.0,0.0,1,1
95,1 ,1,13,17,26.62,0.97,0.0,0.0,0.0,0.0,1,1
111,1 ,1,40,68,4.5,1.4,0.0,0.0,0.0,0.0,1,1
128,1 ,1,19,32,4.783,-1.171,0.0,0.0,0.0,0.0,1,1
134,1 ,1,40,68,3.55,1.0,0.0,0.0,0.0,0.0,1,1
180,1 ,1,49,88,0.2,0.0,0.0,0.0,0.0,0.0,1,1
199,1 ,1,11,14,29.885,9.049,0.0,0.0,0.0,0.0,1,1
208,1 ,1,16,31,74.605,5.992,0.0,0.0,0.0,0.0,1,1
211,1 ,1,15,20,2.934,0.964,0.0,0.0,0.0,0.0,1,1
228,1 ,1,39,62,23.5,7.603,0.0,0.0,0.0,0.0,1,1
240,1 ,1,39,62,0.2,0.1,0.0,0.0,0.0,0.0,1,1
261,1 ,1,39,62,14.2,3.971,0.0,0.0,0.0,0.0,1,1
270,1 ,1,19,32,4.138,-0.907,0.0,0.0,0.0,0.0,1,1
278,1 ,1,32,40,13.6,0.3,0.0,0.0,0.0,0.0,1,1
282,1 ,1,11,14,15.632,1.841,0.0,0.0,0.0,0.0,1,1
314,1 ,1,18,21,6.1,-0.7,0.0,0.0,0.0,0.0,1,1
318,1 ,1,39,62,4.647,1.39,0.0,0.0,0.0,0.0,1,1
335,1 ,1,11,14,9.471,0.577,0.0,0.0,0.0,0.0,1,1
356,1 ,1,31,48,5.8,1.3,0.0,0.0,0.0,0.0,1,1
367,1 ,1,31,46,1.669,-0.033,0.0,0.0,0.0,0.0,1,1
380,1 ,1,11,14,0.194,0.008,0.0,0.0,0.0,0.0,1,1
413,1 ,1,39,62,57.480000000000004,19.740000000000002,0.0,0.0,0.0,0.0,1,1
422,1 ,1,40,68,32.79,3.0,0.0,0.0,0.0,0.0,1,1
431,1 ,1,16,31,0.001,0.001,0.0,0.0,0.0,0.0,1,1
437,1 ,1,11,14,4.451,1.141,0.0,0.0,0.0,0.0,1,1
447,1 ,1,40,68,3.37,0.5,0.0,0.0,0.0,0.0,1,1
483,1 ,1,11,14,0.106,0.004,0.0,0.0,0.0,0.0,1,1
491,1 ,1,36,79,9.38,0.855,0.0,0.0,0.0,0.0,1,1
532,1 ,1,27,33,20.0,2.0,0.0,0.0,0.0,0.0,1,1
538,1 ,1,40,68,2.0,0.6,0.0,0.0,0.0,0.0,1,1
569,1 ,1,42,70,14.07,-2.5119999999999996,0.0,0.0,0.0,0.0,1,1
570,1 ,1,26,36,5.0,1.0,0.0,0.0,0.0,0.0,1,1
574,1 ,1,16,31,0.001,0.001,0.0,0.0,0.0,0.0,1,1
584,1 ,1,36,79,10.322,4.015,0.0,0.0,0.0,0.0,1,1
586,1 ,1,35,42,10.0,1.425,0.0,0.0,0.0,0.0,1,1
587,1 ,1,32,40,16.567,0.7,0.0,0.0,0.0,0.0,1,1
597,1 ,1,16,31,29.341,0.002,0.0,0.0,0.0,0.0,1,1
630,1 ,1,19,32,8.663,-2.753,0.0,0.0,0.0,0.0,1,1
654,1 ,1,36,63,16.017,1.7,0.0,0.0,0.0,0.0,1,1
666,1 ,1,35,42,20.0,2.85,0.0,0.0,0.0,0.0,1,1
668,1 ,1,12,15,15.8,1.4,0.0,0.0,0.0,0.0,1,1
672,1 ,1,36,79,1.0,0.2,0.0,0.0,0.0,0.0,1,1
673,1 ,1,16,31,0.001,0.001,0.0,0.0,0.0,0.0,1,1
688,1 ,1,27,33,17.4,14.5,0.0,0.0,0.0,0.0,1,1
690,1 ,1,42,70,5.901,3.428,0.0,0.0,0.0,0.0,1,1
