scenario,hour,br_1_2,br_2_3,br_2_30,br_6_11,br_10_32,br_16_19,br_22_35,br_29_38
0,1,42.195784,-19.798763,3.103951,0.000000,18.745576,0.000000,15.000000,7.121207
0,2,42.195784,-19.798763,3.103951,0.000000,18.745576,0.000000,15.000000,7.121207
0,3,42.195784,-19.798763,3.103951,0.000000,18.745576,0.000000,15.000000,7.121207
0,4,42.195784,-19.798763,3.103951,0.000000,18.745576,0.000000,15.000000,7.121207
0,5,42.195784,-19.798763,3.103951,0.000000,18.745576,0.000000,15.000000,7.121207
0,6,42.195784,-19.798763,3.103951,0.000000,18.745576,0.000000,15.000000,7.121207
0,7,42.195784,-19.798763,3.103951,0.000000,18.745576,0.000000,15.000000,7.121207
0,8,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
0,9,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
0,10,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
0,11,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
0,12,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
0,13,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
0,14,0.000000,-73.925066,0.227203,90.069879,0.000000,18.527626,33.527626,17.925738
0,15,0.000000,-73.925066,0.227203,90.069879,0.000000,18.527626,33.527626,17.925738
0,16,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
0,17,0.000000,-73.925066,0.227203,90.069879,0.000000,18.527626,33.527626,17.925738
0,18,0.000000,-125.521788,0.000000,0.000000,71.528169,55.444424,70.444424,34.969173
0,19,0.000000,-111.757488,0.000000,0.000000,66.974328,51.009423,66.009423,34.424270
0,20,0.000000,-73.925066,0.227203,90.069879,0.000000,18.527626,33.527626,17.925738
0,21,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
0,22,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
0,23,30.780087,-48.401196,1.097989,0.000000,33.025441,15.000000,30.000000,14.655229
0,24,42.195784,-19.798763,3.103951,0.000000,18.745576,0.000000,15.000000,7.121207
1,1,27.720502,-29.483484,2.898361,46.405708,0.000000,0.000000,15.000000,7.893363
1,2,0.000000,-33.073502,2.864688,40.296566,0.000000,0.000000,15.000000,8.019836
1,3,0.000000,-33.073502,2.864688,40.296566,0.000000,0.000000,15.000000,8.019836
1,4,0.000000,-33.073502,2.864688,40.296566,0.000000,0.000000,15.000000,8.019836
1,5,0.000000,-33.073502,2.864688,40.296566,0.000000,0.000000,15.000000,8.019836
1,6,0.000000,-33.073502,2.864688,40.296566,0.000000,0.000000,15.000000,8.019836
1,7,27.720502,-29.483484,2.898361,46.405708,0.000000,0.000000,15.000000,7.893363
1,8,27.720502,-29.483484,2.898361,46.405708,0.000000,0.000000,15.000000,7.893363
1,9,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
1,10,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
1,11,27.720502,-29.483484,2.898361,46.405708,0.000000,0.000000,15.000000,7.893363
1,12,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
1,13,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
1,14,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
1,15,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
1,16,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
1,17,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
1,18,0.000000,-73.925066,0.227203,90.069879,0.000000,18.527626,33.527626,17.925738
1,19,0.000000,-73.925066,0.227203,90.069879,0.000000,18.527626,33.527626,17.925738
1,20,0.000000,-73.925066,0.227203,90.069879,0.000000,18.527626,33.527626,17.925738
1,21,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
1,22,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
1,23,27.720502,-29.483484,2.898361,46.405708,0.000000,0.000000,15.000000,7.893363
1,24,27.720502,-29.483484,2.898361,46.405708,0.000000,0.000000,15.000000,7.893363
2,1,27.720502,-29.483484,2.898361,46.405708,0.000000,0.000000,15.000000,7.893363
2,2,0.000000,-33.073502,2.864688,40.296566,0.000000,0.000000,15.000000,8.019836
2,3,0.000000,-33.073502,2.864688,40.296566,0.000000,0.000000,15.000000,8.019836
2,4,0.000000,-33.073502,2.864688,40.296566,0.000000,0.000000,15.000000,8.019836
2,5,0.000000,-33.073502,2.864688,40.296566,0.000000,0.000000,15.000000,8.019836
2,6,0.000000,-33.073502,2.864688,40.296566,0.000000,0.000000,15.000000,8.019836
2,7,27.720502,-29.483484,2.898361,46.405708,0.000000,0.000000,15.000000,7.893363
2,8,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
2,9,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
2,10,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
2,11,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
2,12,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
2,13,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
2,14,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
2,15,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
2,16,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
2,17,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
2,18,0.000000,-73.925066,0.227203,90.069879,0.000000,18.527626,33.527626,17.925738
2,19,0.000000,-73.925066,0.227203,90.069879,0.000000,18.527626,33.527626,17.925738
2,20,0.000000,-73.925066,0.227203,90.069879,0.000000,18.527626,33.527626,17.925738
2,21,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
2,22,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
2,23,27.720502,-29.483484,2.898361,46.405708,0.000000,0.000000,15.000000,7.893363
2,24,27.720502,-29.483484,2.898361,46.405708,0.000000,0.000000,15.000000,7.893363
3,1,27.720502,-29.483484,2.898361,46.405708,0.000000,0.000000,15.000000,7.893363
3,2,0.000000,-33.073502,2.864688,40.296566,0.000000,0.000000,15.000000,8.019836
3,3,0.000000,-33.073502,2.864688,40.296566,0.000000,0.000000,15.000000,8.019836
3,4,0.000000,-33.073502,2.864688,40.296566,0.000000,0.000000,15.000000,8.019836
3,5,0.000000,-33.073502,2.864688,40.296566,0.000000,0.000000,15.000000,8.019836
3,6,0.000000,-33.073502,2.864688,40.296566,0.000000,0.000000,15.000000,8.019836
3,7,27.720502,-29.483484,2.898361,46.405708,0.000000,0.000000,15.000000,7.893363
3,8,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
3,9,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
3,10,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
3,11,27.720502,-29.483484,2.898361,46.405708,0.000000,0.000000,15.000000,7.893363
3,12,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
3,13,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
3,14,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
3,15,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
3,16,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
3,17,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
3,18,0.000000,-73.925066,0.227203,90.069879,0.000000,18.527626,33.527626,17.925738
3,19,0.000000,-73.925066,0.227203,90.069879,0.000000,18.527626,33.527626,17.925738
3,20,0.000000,-73.925066,0.227203,90.069879,0.000000,18.527626,33.527626,17.925738
3,21,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
3,22,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
3,23,27.720502,-29.483484,2.898361,46.405708,0.000000,0.000000,15.000000,7.893363
3,24,27.720502,-29.483484,2.898361,46.405708,0.000000,0.000000,15.000000,7.893363
4,1,27.720502,-29.483484,2.898361,46.405708,0.000000,0.000000,15.000000,7.893363
4,2,0.000000,-33.073502,2.864688,40.296566,0.000000,0.000000,15.000000,8.019836
4,3,0.000000,-33.073502,2.864688,40.296566,0.000000,0.000000,15.000000,8.019836
4,4,0.000000,-33.073502,2.864688,40.296566,0.000000,0.000000,15.000000,8.019836
4,5,0.000000,-33.073502,2.864688,40.296566,0.000000,0.000000,15.000000,8.019836
4,6,27.720502,-29.483484,2.898361,46.405708,0.000000,0.000000,15.000000,7.893363
4,7,27.720502,-29.483484,2.898361,46.405708,0.000000,0.000000,15.000000,7.893363
4,8,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
4,9,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
4,10,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
4,11,27.720502,-29.483484,2.898361,46.405708,0.000000,0.000000,15.000000,7.893363
4,12,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
4,13,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
4,14,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
4,15,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
4,16,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
4,17,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
4,18,0.000000,-73.925066,0.227203,90.069879,0.000000,18.527626,33.527626,17.925738
4,19,0.000000,-73.925066,0.227203,90.069879,0.000000,18.527626,33.527626,17.925738
4,20,0.000000,-73.925066,0.227203,90.069879,0.000000,18.527626,33.527626,17.925738
4,21,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
4,22,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
4,23,27.720502,-29.483484,2.898361,46.405708,0.000000,0.000000,15.000000,7.893363
4,24,27.720502,-29.483484,2.898361,46.405708,0.000000,0.000000,15.000000,7.893363
5,1,27.720502,-29.483484,2.898361,46.405708,0.000000,0.000000,15.000000,7.893363
5,2,0.000000,-33.073502,2.864688,40.296566,0.000000,0.000000,15.000000,8.019836
5,3,0.000000,-33.073502,2.864688,40.296566,0.000000,0.000000,15.000000,8.019836
5,4,0.000000,-33.073502,2.864688,40.296566,0.000000,0.000000,15.000000,8.019836
5,5,0.000000,-33.073502,2.864688,40.296566,0.000000,0.000000,15.000000,8.019836
5,6,27.720502,-29.483484,2.898361,46.405708,0.000000,0.000000,15.000000,7.893363
5,7,27.720502,-29.483484,2.898361,46.405708,0.000000,0.000000,15.000000,7.893363
5,8,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
5,9,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
5,10,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
5,11,27.720502,-29.483484,2.898361,46.405708,0.000000,0.000000,15.000000,7.893363
5,12,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
5,13,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
5,14,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
5,15,5.277932,-65.463470,0.735787,81.756302,0.000000,15.000000,30.000000,16.015592
