scenario,hour,energy_price,bus_1,bus_2,bus_3,bus_4,bus_5,bus_6,bus_7,bus_8,bus_9,bus_10,bus_11,bus_12,bus_13,bus_14,bus_15,bus_16,bus_17,bus_18,bus_19,bus_20,bus_21,bus_22,bus_23,bus_24,bus_25,bus_26,bus_27,bus_28,bus_29,bus_30,bus_31,bus_32,bus_33,bus_34,bus_35,bus_36,bus_37,bus_38,bus_39
0,1,-44.6464,-60.5907,-12.5944,-42.3828,-43.3789,-44.6387,-44.6464,-45.3543,-45.7083,-51.9682,-43.7497,-44.0394,-43.7497,-43.4601,-42.7124,-39.9851,-38.8037,-37.6851,-39.4768,-38.8037,-38.8037,-38.8037,-38.8037,-38.8037,-38.8037,-15.5544,-26.6714,-31.7308,-26.6714,-26.6714,-11.3000,-44.6464,-22.6000,-38.8037,-38.8037,-22.6000,-38.8037,-15.5544,-26.8000,-56.2794
0,2,-36.8410,-57.9995,-13.3046,-32.5192,-34.9671,-36.8013,-36.8410,-37.7703,-38.2350,-46.5484,-35.8025,-36.1380,-35.8025,-35.4671,-34.6012,-32.1253,-31.0528,-30.0374,-30.9839,-31.0528,-31.0528,-31.0528,-31.0528,-31.0528,-31.0528,-15.2786,-22.6924,-26.0665,-22.6924,-22.6924,-11.3000,-36.8410,-22.6000,-31.0528,-31.0528,-22.6000,-31.0528,-15.2786,-26.8000,-52.2740
0,3,-32.3980,-56.5245,-13.7089,-26.9046,-30.1789,-32.3399,-32.3980,-33.4533,-33.9809,-43.4633,-31.2788,-31.6403,-31.2788,-30.9172,-29.9840,-27.6513,-26.6408,-25.6841,-26.1496,-26.6408,-26.6408,-26.6408,-26.6408,-26.6408,-26.6408,-15.1216,-20.4275,-22.8422,-20.4275,-20.4275,-11.3000,-32.3980,-22.6000,-26.6408,-26.6408,-22.6000,-26.6408,-15.1216,-26.8000,-49.9939
0,4,-53.3531,-47.2112,-10.5088,-58.0539,-54.3988,-53.4421,-53.3531,-53.1099,-52.9883,-50.5583,-53.2586,-53.2891,-53.2586,-53.2281,-53.1493,-50.8782,-49.8944,-48.9629,-52.4302,-49.8944,-49.8944,-49.8944,-49.8944,-49.8944,-49.8944,-15.0452,-32.0832,-39.8373,-32.0832,-32.0832,-11.3000,-53.3531,-22.6000,-49.8944,-49.8944,-22.6000,-49.8944,-15.0452,-26.8000,-48.8847
0,5,-31.6374,-56.2720,-13.7781,-25.9435,-29.3593,-31.5763,-31.6374,-32.7143,-33.2527,-42.9352,-30.5044,-30.8704,-30.5044,-30.1384,-29.1937,-26.8855,-25.8856,-24.9389,-25.3221,-25.8856,-25.8856,-25.8856,-25.8856,-25.8856,-25.8856,-15.0947,-20.0398,-22.2903,-20.0398,-20.0398,-11.3000,-31.6374,-22.6000,-25.8856,-25.8856,-22.6000,-25.8856,-15.0947,-26.8000,-49.6036
0,6,-38.6823,-58.6107,-13.1371,-34.8460,-36.9514,-38.6501,-38.6823,-39.5594,-39.9979,-47.8269,-37.6773,-38.0019,-37.6773,-37.3526,-36.5146,-33.9794,-32.8812,-31.8415,-32.9874,-32.8812,-32.8812,-32.8812,-32.8812,-32.8812,-32.8812,-15.3436,-23.6310,-27.4027,-23.6310,-23.6310,-11.3000,-38.6823,-22.6000,-32.8812,-32.8812,-22.6000,-32.8812,-15.3436,-26.8000,-53.2188
0,7,-52.8520,-63.3147,-11.8478,-52.7521,-52.2220,-52.8781,-52.8520,-53.3273,-53.5649,-57.6659,-52.1044,-52.3459,-52.1044,-51.8629,-51.2396,-48.2480,-46.9520,-45.7250,-48.4051,-46.9520,-46.9520,-46.9520,-46.9520,-46.9520,-46.9520,-15.8443,-30.8544,-37.6856,-30.8544,-30.8544,-11.3000,-52.8520,-22.6000,-46.9520,-46.9520,-22.6000,-46.9520,-15.8443,-26.8000,-60.4903
0,8,-89.9134,-56.8550,-11.0217,-71.0042,-67.7038,-86.0946,-89.9134,-87.1287,-85.7364,-73.5881,-22.3470,-15.4151,-22.3470,-29.2790,-47.1705,-51.0703,-52.7596,-54.3591,-60.7075,-48.4431,-48.4431,-52.7596,-52.7596,-52.7596,-52.7596,-16.1342,-35.3358,-44.0746,-35.3358,-35.3358,-11.3000,-89.9134,-22.3470,-48.4431,-48.4431,-22.6000,-52.7596,-16.1342,-26.8000,-65.2216
0,9,-108.4680,-54.8634,-9.7906,-87.0121,-80.9326,-103.5847,-108.4680,-104.4021,-102.3692,-82.3870,-21.9088,-12.8296,-21.9088,-30.9880,-54.4217,-60.1733,-62.6648,-65.0238,-73.4100,-49.3767,-49.3767,-62.6648,-62.6648,-62.6648,-62.6648,-16.3064,-40.7788,-51.9163,-40.7788,-40.7788,-11.3000,-108.4680,-21.9088,-49.3767,-49.3767,-22.6000,-62.6648,-16.3064,-26.8000,-68.6252
0,10,-125.9313,-52.9890,-8.6318,-102.0783,-93.3833,-120.0460,-125.9313,-120.6595,-118.0236,-90.6684,-21.4964,-10.3962,-21.4964,-32.5966,-61.2463,-68.7409,-71.9874,-75.0612,-85.3654,-50.2554,-50.2554,-71.9874,-71.9874,-71.9874,-71.9874,-16.4685,-45.9015,-59.2967,-45.9015,-45.9015,-11.3000,-125.9313,-21.4964,-50.2554,-50.2554,-22.6000,-71.9874,-16.4685,-26.8000,-71.8287
