scenario,hour,br_1_2,br_2_3,br_2_30,br_6_11,br_10_32,br_16_19,br_22_35,br_29_38
0,1,-55.083885,32.381474,-1.294428,0.000000,-21.149727,0.000000,-16.203691,0.128633
0,2,-54.107644,19.222296,-2.004610,0.000000,-13.202542,0.000000,-8.452824,4.107599
0,3,-53.551942,11.731714,-2.408862,0.000000,-8.678773,0.000000,-4.040804,6.372544
0,4,-33.951035,56.521063,0.791231,0.000000,-30.658578,0.000000,-27.294402,-5.283195
0,5,-53.456805,10.449530,-2.478062,0.000000,-7.904427,0.000000,-3.285589,6.760239
0,6,-54.337941,22.326515,-1.837079,0.000000,-15.077265,0.000000,-10.281235,3.168970
0,7,-56.110186,46.215445,-0.547830,0.000000,-29.504439,0.000000,-24.352018,-4.054372
0,8,-32.078669,74.012533,0.278301,-89.024118,0.000000,-4.316502,-30.159647,-8.535825
0,9,-22.448448,96.974271,1.509445,-114.663768,0.000000,-13.288087,-40.064827,-13.978751
0,10,-13.384676,118.585371,2.668170,-138.795267,0.000000,-21.731952,-49.387372,-19.101518
0,11,-8.034563,131.341908,3.352139,-153.039546,0.000000,-26.716172,-54.890257,-22.125371
0,12,-3.943242,141.096981,3.875182,-163.932289,0.000000,-30.527664,-59.098374,-24.437743
0,13,-0.796087,148.600835,4.277516,-172.311280,0.000000,-33.459559,-62.335369,-26.216481
0,14,0.000000,155.614359,4.860606,-180.205248,0.000000,-36.247352,-65.367237,-27.772964
0,15,0.000000,160.937394,5.391827,-186.065612,0.000000,-38.412129,-67.654054,-28.899629
0,16,0.336891,151.302242,4.422359,-175.327734,0.000000,-34.515054,-63.500694,-26.856831
0,17,0.000000,193.674247,8.658841,-222.107091,0.000000,-51.725612,-81.718072,-35.828670
0,18,0.000000,427.877635,0.000000,0.000000,-241.863560,-206.169300,-238.169300,-113.041557
0,19,0.000000,339.793630,0.000000,0.000000,-203.985882,-169.430452,-201.052132,-100.818890
0,20,0.000000,203.521976,9.641610,-232.948891,0.000000,-55.730499,-85.948734,-37.913026
0,21,-4.069120,140.796849,3.859090,-163.597158,0.000000,-30.410399,-58.968904,-24.366598
0,22,-24.084931,93.072321,1.300233,-110.306755,0.000000,-11.763523,-38.381613,-13.053820
0,23,-61.388358,35.391605,-1.339657,0.000000,-24.312510,5.859072,-18.806398,-1.282208
0,24,-54.858605,29.344744,-1.458314,0.000000,-19.315763,0.000000,-14.415031,1.046856
1,1,-16.244652,42.636882,-0.466858,-46.602543,0.000000,0.000000,-13.433219,0.958338
1,2,0.000000,76.237774,2.485674,-77.794999,0.000000,0.000000,-27.165877,-5.989302
1,3,0.000000,64.025485,1.965389,-61.376873,0.000000,0.000000,-21.507130,-2.817569
1,4,0.000000,54.464624,1.944964,-47.484799,0.000000,0.000000,-16.790036,0.013477
1,5,0.000000,57.559452,2.168601,-51.808359,0.000000,0.000000,-18.116603,-0.692402
1,6,0.000000,27.833876,-1.287857,-20.991446,0.000000,0.000000,-5.652408,5.180963
1,7,-18.377800,56.581187,0.089238,-65.165663,0.000000,0.000000,-20.168363,-2.810865
1,8,-22.928793,66.835913,0.307804,-79.526819,0.000000,0.000000,-25.548548,-5.890199
1,9,-36.265111,51.547172,-0.840336,-67.792350,0.000000,7.300554,-19.476186,-2.727826
1,10,-48.248008,46.502666,-1.544093,-66.453186,0.000000,9.326069,-18.329351,-2.279617
1,11,-39.651015,65.578521,-0.607966,-86.418901,0.000000,0.000000,-26.712399,-6.909437
1,12,-27.311699,85.895310,0.743572,-107.820868,0.000000,-6.376742,-34.947452,-11.327413
